mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.4,"74 km WNW of La Ligua, Chile",1651669041377,1651726130040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h6zs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h6zs&format=geojson,,,,,reviewed,0,298,us,7000h6zs,",us7000h6zs,",",us,",",origin,phase-data,",,0.826,0.63,149.0,mb,earthquake,"M 4.4 - 74 km WNW of La Ligua, Chile"
5.1,"76 km WNW of La Ligua, Chile",1651668502052,1651798228054,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h6zr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h6zr&format=geojson,6.0,4.3,,,reviewed,0,403,us,7000h6zr,",us7000h6zr,",",us,",",dyfi,moment-tensor,origin,phase-data,",,0.843,0.74,100.0,mww,earthquake,"M 5.1 - 76 km WNW of La Ligua, Chile"
1.86,"19km S of Trona, CA",1651668493090,1651669070044,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251888&format=geojson,,,,,reviewed,0,53,ci,40251888,",ci40251888,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.05616,0.18,101.0,ml,earthquake,"M 1.9 - 19km S of Trona, CA"
0.81,"17km ESE of Julian, CA",1651667585530,1651862753318,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251880,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251880&format=geojson,,,,,reviewed,0,10,ci,40251880,",ci40251880,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.04211,0.13,84.0,ml,earthquake,"M 0.8 - 17km ESE of Julian, CA"
2.7,"45 km NW of Toyah, Texas",1651667274373,1651725959040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022irro,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022irro&format=geojson,,,,,reviewed,0,112,tx,2022irro,",us7000h6zk,tx2022irro,",",us,tx,",",origin,phase-data,",17.0,0.09448503642,0.3,65.0,ml,earthquake,"M 2.7 - 45 km NW of Toyah, Texas"
0.35,"7km NW of The Geysers, CA",1651667182710,1651672935166,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729206&format=geojson,,,,,automatic,0,2,nc,73729206,",nc73729206,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.007654,0.06,73.0,md,earthquake,"M 0.4 - 7km NW of The Geysers, CA"
0.5,"28 km S of Mina, Nevada",1651667143841,1651701451580,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838304,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838304&format=geojson,,,,,reviewed,0,4,nn,00838304,",nn00838304,",",nn,",",origin,phase-data,",11.0,0.093,0.0723,159.61,ml,earthquake,"M 0.5 - 28 km S of Mina, Nevada"
3.2,"37 km NNW of Toyah, Texas",1651666723690,1651891586089,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022irrg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022irrg&format=geojson,,,,,reviewed,0,158,tx,2022irrg,",us7000h6zi,tx2022irrg,",",us,tx,",",origin,phase-data,",21.0,0.07181216874,0.2,63.0,ml,earthquake,"M 3.2 - 37 km NNW of Toyah, Texas"
4.2,"224 km SSE of King Cove, Alaska",1651666347803,1651677603834,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h6zh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h6zh&format=geojson,,,1.0,,reviewed,0,271,us,7000h6zh,",ak0225p9uuzo,us7000h6zh,",",ak,us,",",origin,phase-data,shakemap,",,1.684,0.98,168.0,mb,earthquake,"M 4.2 - 224 km SSE of King Cove, Alaska"
1.15,"7km W of Cobb, CA",1651666274030,1651671373997,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729201,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729201&format=geojson,,,,,automatic,0,20,nc,73729201,",nc73729201,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.008756,0.02,66.0,md,earthquake,"M 1.2 - 7km W of Cobb, CA"
0.8,"4 km NW of Fox, Alaska",1651666166989,1651666466438,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p9u80q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p9u80q&format=geojson,,,,,automatic,0,10,ak,0225p9u80q,",ak0225p9u80q,",",ak,",",origin,phase-data,",,,0.42,,ml,earthquake,"M 0.8 - 4 km NW of Fox, Alaska"
5.2,"Near the coast of Valparaiso, Chile",1651665574589,1651797566301,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h6zc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h6zc&format=geojson,20.0,6.4,,,reviewed,0,429,us,7000h6zc,",us7000h6zc,",",us,",",dyfi,moment-tensor,origin,phase-data,",,0.787,0.69,102.0,mww,earthquake,"M 5.2 - Near the coast of Valparaiso, Chile"
2.5,"36 km NNW of Toyah, Texas",1651665533770,1651725360040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022irqm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022irqm&format=geojson,,,,,reviewed,0,96,tx,2022irqm,",us7000h724,tx2022irqm,",",us,tx,",",origin,phase-data,",10.0,0.1338470665,0.3,71.0,ml,earthquake,"M 2.5 - 36 km NNW of Toyah, Texas"
2.45,"2 km WNW of Tallaboa, Puerto Rico",1651664728970,1651677449300,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71347358,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71347358&format=geojson,,,,,reviewed,0,92,pr,71347358,",pr71347358,",",pr,",",origin,phase-data,",10.0,,0.18,185.0,md,earthquake,"M 2.5 - 2 km WNW of Tallaboa, Puerto Rico"
1.5,"24 km S of Mina, Nevada",1651664512125,1651699594707,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838301&format=geojson,,,,,reviewed,0,35,nn,00838301,",nn00838301,",",nn,",",origin,phase-data,",19.0,0.138,0.1461,123.63,ml,earthquake,"M 1.5 - 24 km S of Mina, Nevada"
1.3,"30 km SE of Mina, Nevada",1651664147894,1651698661647,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838298,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838298&format=geojson,,,,,reviewed,0,26,nn,00838298,",nn00838298,",",nn,",",origin,phase-data,",16.0,0.088,0.1038,114.35,ml,earthquake,"M 1.3 - 30 km SE of Mina, Nevada"
-0.58,"82 km W of Adak, Alaska",1651663881180,1651709175290,,https://earthquake.usgs.gov/earthquakes/eventpage/av91057353,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91057353&format=geojson,,,,,reviewed,0,0,av,91057353,",av91057353,",",av,",",origin,phase-data,",4.0,,0.05,228.0,ml,earthquake,"M -0.6 - 82 km W of Adak, Alaska"
0.76,"6km ENE of Anza, CA",1651662229550,1651690154607,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37415004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37415004&format=geojson,,,,,reviewed,0,9,ci,37415004,",ci37415004,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.02668,0.08,48.0,ml,earthquake,"M 0.8 - 6km ENE of Anza, CA"
0.45,"6km ENE of Anza, CA",1651662226350,1651689552552,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251856&format=geojson,,,,,reviewed,0,3,ci,40251856,",ci40251856,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.01913,0.07,46.0,ml,earthquake,"M 0.5 - 6km ENE of Anza, CA"
0.47,"7km ENE of Anza, CA",1651662191580,1651775925645,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251848&format=geojson,,,,,reviewed,0,3,ci,40251848,",ci40251848,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.02232,0.13,49.0,ml,earthquake,"M 0.5 - 7km ENE of Anza, CA"
1.0,"14km S of Arvin, CA",1651662141260,1651697159464,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251864,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251864&format=geojson,,,,,reviewed,0,15,ci,40251864,",ci40251864,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.04849,0.15,116.0,ml,earthquake,"M 1.0 - 14km S of Arvin, CA"
0.4,"25 km SSW of Mina, Nevada",1651661203278,1651707772571,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838356,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838356&format=geojson,,,,,reviewed,0,2,nn,00838356,",nn00838356,",",nn,",",origin,phase-data,",7.0,0.263,0.0699,161.58,ml,earthquake,"M 0.4 - 25 km SSW of Mina, Nevada"
0.7,"37 km W of Kingston, Nevada",1651661122315,1651707400055,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838355,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838355&format=geojson,,,,,reviewed,0,8,nn,00838355,",nn00838355,",",nn,",",origin,phase-data,",7.0,0.491,0.1106,255.02,ml,earthquake,"M 0.7 - 37 km W of Kingston, Nevada"
1.6,"37 km NNE of Valdez, Alaska",1651660865033,1651661037217,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p8u613,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p8u613&format=geojson,,,,,automatic,0,39,ak,0225p8u613,",ak0225p8u613,",",ak,",",origin,phase-data,",,,0.65,,ml,earthquake,"M 1.6 - 37 km NNE of Valdez, Alaska"
4.2,"15 km WSW of Kíssamos, Greece",1651660847758,1651742779784,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h6z3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h6z3&format=geojson,1.0,4.3,,,reviewed,0,272,us,7000h6z3,",us7000h6z3,",",us,",",dyfi,origin,phase-data,",,1.162,1.26,69.0,mb,earthquake,"M 4.2 - 15 km WSW of Kíssamos, Greece"
0.95,"10km WNW of Toms Place, CA",1651660518490,1651690094863,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729196,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729196&format=geojson,,,,,reviewed,0,14,nc,73729196,",nc73729196,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03772,0.05,163.0,md,earthquake,"M 1.0 - 10km WNW of Toms Place, CA"
1.94,"23 km NW of Stanley, Idaho",1651659875840,1651696369770,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544969,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544969&format=geojson,,,,,reviewed,0,58,mb,80544969,",mb80544969,",",mb,",",origin,phase-data,",11.0,0.815,0.2,82.0,ml,earthquake,"M 1.9 - 23 km NW of Stanley, Idaho"
0.3,"7km ENE of Anza, CA",1651659601170,1651680230282,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251840,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251840&format=geojson,,,,,reviewed,0,1,ci,40251840,",ci40251840,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.02136,0.09,50.0,ml,earthquake,"M 0.3 - 7km ENE of Anza, CA"
-0.04,"28 km SW of Akutan, Alaska",1651659351360,1651706981920,,https://earthquake.usgs.gov/earthquakes/eventpage/av91057343,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91057343&format=geojson,,,,,reviewed,0,0,av,91057343,",av91057343,",",av,",",origin,phase-data,",6.0,,0.09,329.0,ml,earthquake,"M 0.0 - 28 km SW of Akutan, Alaska"
0.29,"6km WNW of The Geysers, CA",1651659175950,1652221337718,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729191,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729191&format=geojson,,,,,reviewed,0,1,nc,73729191,",nc73729191,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.01298,0.02,69.0,md,earthquake,"M 0.3 - 6km WNW of The Geysers, CA"
0.68,"6km NNE of Beaumont, CA",1651659001370,1651679792240,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251824,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251824&format=geojson,,,,,reviewed,0,7,ci,40251824,",ci40251824,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",36.0,0.06727,0.15,92.0,ml,earthquake,"M 0.7 - 6km NNE of Beaumont, CA"
0.28,"28 km SW of Akutan, Alaska",1651658909090,1651707163470,,https://earthquake.usgs.gov/earthquakes/eventpage/av91057348,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91057348&format=geojson,,,,,reviewed,0,1,av,91057348,",av91057348,",",av,",",origin,phase-data,",6.0,,0.12,328.0,ml,earthquake,"M 0.3 - 28 km SW of Akutan, Alaska"
0.87,"159 km W of Adak, Alaska",1651658322340,1651705477060,,https://earthquake.usgs.gov/earthquakes/eventpage/av91550536,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91550536&format=geojson,,,,,reviewed,0,12,av,91550536,",av91550536,",",av,",",origin,phase-data,",6.0,,0.14,269.0,ml,earthquake,"M 0.9 - 159 km W of Adak, Alaska"
0.35,"6km WNW of The Geysers, CA",1651658124180,1651659973841,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729186&format=geojson,,,,,automatic,0,2,nc,73729186,",nc73729186,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.01549,0.01,135.0,md,earthquake,"M 0.4 - 6km WNW of The Geysers, CA"
2.8,"9 km S of Trapper Creek, Alaska",1651658008426,1651728022655,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p8bcql,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p8bcql&format=geojson,9.0,3.6,,,reviewed,0,124,ak,0225p8bcql,",ak0225p8bcql,us7000h6z1,",",ak,us,",",dyfi,origin,phase-data,",,,0.63,,ml,earthquake,"M 2.8 - 9 km S of Trapper Creek, Alaska"
0.33,"Andreanof Islands, Aleutian Islands, Alaska",1651657992650,1651705349660,,https://earthquake.usgs.gov/earthquakes/eventpage/av91550521,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91550521&format=geojson,,,,,reviewed,0,2,av,91550521,",av91550521,",",av,",",origin,phase-data,",6.0,,0.19,275.0,ml,earthquake,"M 0.3 - Andreanof Islands, Aleutian Islands, Alaska"
1.07,"5km WSW of Lytle Creek, CA",1651657699970,1651679293197,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251816,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251816&format=geojson,,,,,reviewed,0,18,ci,40251816,",ci40251816,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",44.0,0.05289,0.17,66.0,ml,earthquake,"M 1.1 - 5km WSW of Lytle Creek, CA"
1.14,"8km SE of Palomar Observatory, CA",1651657514560,1651678766840,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251808,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251808&format=geojson,,,,,reviewed,0,20,ci,40251808,",ci40251808,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",60.0,0.0661,0.17,35.0,ml,earthquake,"M 1.1 - 8km SE of Palomar Observatory, CA"
1.24,"40km ENE of Olancha, CA",1651656721710,1651678114131,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251800&format=geojson,,,,,reviewed,0,24,ci,40251800,",ci40251800,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.1502,0.13,109.0,ml,earthquake,"M 1.2 - 40km ENE of Olancha, CA"
0.0,"9km N of Anza, CA",1651656057180,1651677870506,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251792&format=geojson,,,,,reviewed,0,0,ci,40251792,",ci40251792,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.03765,0.05,61.0,ml,earthquake,"M 0.0 - 9km N of Anza, CA"
0.53,"7km NW of The Geysers, CA",1651655713680,1651822756056,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729181&format=geojson,,,,,reviewed,0,4,nc,73729181,",nc73729181,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.00489,0.02,81.0,md,earthquake,"M 0.5 - 7km NW of The Geysers, CA"
1.2,"28 km SSE of Mina, Nevada",1651655434938,1651697730841,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838294,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838294&format=geojson,,,,,reviewed,0,22,nn,00838294,",nn00838294,",",nn,",",origin,phase-data,",18.0,0.021,0.1464,118.55,ml,earthquake,"M 1.2 - 28 km SSE of Mina, Nevada"
0.97,"136 km W of Adak, Alaska",1651655258350,1651704953480,,https://earthquake.usgs.gov/earthquakes/eventpage/av91550501,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91550501&format=geojson,,,,,reviewed,0,14,av,91550501,",av91550501,",",av,",",origin,phase-data,",7.0,,0.24,140.0,ml,earthquake,"M 1.0 - 136 km W of Adak, Alaska"
0.87,"8km NW of The Geysers, CA",1651655139630,1651656794466,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729171,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729171&format=geojson,,,,,automatic,0,12,nc,73729171,",nc73729171,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.008721,0.04,67.0,md,earthquake,"M 0.9 - 8km NW of The Geysers, CA"
0.8,"2 km SSW of Coleville, California",1651654715105,1651696799786,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838292,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838292&format=geojson,,,,,reviewed,0,10,nn,00838292,",nn00838292,",",nn,",",origin,phase-data,",13.0,0.038,0.0918,70.93,ml,earthquake,"M 0.8 - 2 km SSW of Coleville, California"
0.73,"10km NE of San Martin, CA",1651654636710,1651784293170,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729166,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729166&format=geojson,,,,,reviewed,0,8,nc,73729166,",nc73729166,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.05858,0.11,61.0,md,earthquake,"M 0.7 - 10km NE of San Martin, CA"
0.85,"7km NW of The Geysers, CA",1651654335860,1651655295278,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73729161,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73729161&format=geojson,,,,,automatic,0,11,nc,73729161,",nc73729161,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.01071,0.01,192.0,md,earthquake,"M 0.9 - 7km NW of The Geysers, CA"
1.5,"10 km ENE of Willow, Alaska",1651654192663,1651654484127,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p7p488,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p7p488&format=geojson,,,,,automatic,0,35,ak,0225p7p488,",ak0225p7p488,",",ak,",",origin,phase-data,",,,0.44,,ml,earthquake,"M 1.5 - 10 km ENE of Willow, Alaska"
1.5,"53 km WSW of Denali National Park, Alaska",1651654050205,1651654162086,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p7on24,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p7on24&format=geojson,,,,,automatic,0,35,ak,0225p7on24,",ak0225p7on24,",",ak,",",origin,phase-data,",,,0.64,,ml,earthquake,"M 1.5 - 53 km WSW of Denali National Park, Alaska"
1.8,"67 km ENE of Ugashik, Alaska",1651653943099,1651654187078,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p7o8md,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p7o8md&format=geojson,,,,,automatic,0,50,ak,0225p7o8md,",ak0225p7o8md,",",ak,",",origin,phase-data,",,,0.68,,ml,earthquake,"M 1.8 - 67 km ENE of Ugashik, Alaska"
0.75,"14 km SSE of Ashford, Washington",1651652916530,1651688805730,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61827952,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61827952&format=geojson,,,,,reviewed,0,9,uw,61827952,",uw61827952,",",uw,",",origin,phase-data,",23.0,0.09243,0.1,126.0,ml,earthquake,"M 0.8 - 14 km SSE of Ashford, Washington"
1.3,"4 km SSW of Susitna, Alaska",1651652530151,1651652838215,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p7j8lx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p7j8lx&format=geojson,,,,,automatic,0,26,ak,0225p7j8lx,",ak0225p7j8lx,",",ak,",",origin,phase-data,",,,0.43,,ml,earthquake,"M 1.3 - 4 km SSW of Susitna, Alaska"
2.11,"25 km NW of Stanley, Idaho",1651652220660,1651675401510,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544919,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544919&format=geojson,,,,,reviewed,0,68,mb,80544919,",mb80544919,",",mb,",",origin,phase-data,",13.0,0.832,0.21,83.0,ml,earthquake,"M 2.1 - 25 km NW of Stanley, Idaho"
0.39,"66 km NE of Nikolski, Alaska",1651652087490,1651704703620,,https://earthquake.usgs.gov/earthquakes/eventpage/av91057318,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91057318&format=geojson,,,,,reviewed,0,2,av,91057318,",av91057318,",",av,",",origin,phase-data,",5.0,,0.1,284.0,ml,earthquake,"M 0.4 - 66 km NE of Nikolski, Alaska"
0.79,"12km NE of Coso Junction, CA",1651651919610,1651677581021,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251776&format=geojson,,,,,reviewed,0,10,ci,40251776,",ci40251776,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.006907,0.09,85.0,ml,earthquake,"M 0.8 - 12km NE of Coso Junction, CA"
-0.96,"61 km ENE of Pedro Bay, Alaska",1651651556070,1651704704610,,https://earthquake.usgs.gov/earthquakes/eventpage/av91550466,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91550466&format=geojson,,,,,reviewed,0,0,av,91550466,",av91550466,",",av,",",origin,phase-data,",4.0,,0.05,171.0,ml,earthquake,"M -1.0 - 61 km ENE of Pedro Bay, Alaska"
1.39,"4 km NE of Magna, Utah",1651651554970,1651670387380,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60495547,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60495547&format=geojson,,,,,reviewed,0,30,uu,60495547,",uu60495547,",",uu,",",origin,phase-data,",30.0,0.02641,0.13,45.0,ml,earthquake,"M 1.4 - 4 km NE of Magna, Utah"
1.5,"158 km W of Adak, Alaska",1651650996610,1651703100450,,https://earthquake.usgs.gov/earthquakes/eventpage/av91550461,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91550461&format=geojson,,,,,reviewed,0,35,av,91550461,",av91550461,",",av,",",origin,phase-data,",6.0,,0.15,269.0,ml,earthquake,"M 1.5 - 158 km W of Adak, Alaska"
0.97,"18 km E of Honaunau-Napoopoo, Hawaii",1651650696240,1651651541200,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73002567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73002567&format=geojson,,,,,reviewed,0,14,hv,73002567,",hv73002567,",",hv,",",origin,phase-data,",14.0,,0.09,168.0,md,earthquake,"M 1.0 - 18 km E of Honaunau-Napoopoo, Hawaii"
1.0,"7 km SE of El Reno, Oklahoma",1651650651750,1651766361071,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022irik,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022irik&format=geojson,,,,,reviewed,0,15,ok,2022irik,",ok2022irik,",",ok,",",origin,phase-data,",17.0,0.07108605049,0.36,94.0,ml,earthquake,"M 1.0 - 7 km SE of El Reno, Oklahoma"
0.75,"19 km E of Honaunau-Napoopoo, Hawaii",1651650587340,1651651307450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73002552,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73002552&format=geojson,,,,,reviewed,0,9,hv,73002552,",hv73002552,",",hv,",",origin,phase-data,",12.0,,0.08,155.0,md,earthquake,"M 0.8 - 19 km E of Honaunau-Napoopoo, Hawaii"
1.78,"19 km E of Honaunau-Napoopoo, Hawaii",1651650313950,1651650897250,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73002547,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73002547&format=geojson,,,,,reviewed,0,49,hv,73002547,",hv73002547,",",hv,",",origin,phase-data,",17.0,,0.1,106.0,md,earthquake,"M 1.8 - 19 km E of Honaunau-Napoopoo, Hawaii"
1.0,"45 km NW of Nikiski, Alaska",1651650041177,1651650245422,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225p71qas,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225p71qas&format=geojson,,,,,automatic,0,15,ak,0225p71qas,",ak0225p71qas,",",ak,",",origin,phase-data,",,,0.69,,ml,earthquake,"M 1.0 - 45 km NW of Nikiski, Alaska"
1.9,"31 km SE of Mina, Nevada",1651649946035,1651683782619,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838289,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838289&format=geojson,,,,,reviewed,0,56,nn,00838289,",nn00838289,",",nn,",",origin,phase-data,",22.0,0.055,0.1076,64.96,ml,earthquake,"M 1.9 - 31 km SE of Mina, Nevada"
0.56,"8 km SE of Mossyrock, Washington",1651649427930,1651689935050,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61827942,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61827942&format=geojson,,,,,reviewed,0,5,uw,61827942,",uw61827942,",",uw,",",origin,phase-data,",23.0,0.1401,0.17,123.0,ml,earthquake,"M 0.6 - 8 km SE of Mossyrock, Washington"
0.34,"17km SE of Anza, CA",1651649260220,1651677355004,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40251768,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40251768&format=geojson,,,,,reviewed,0,2,ci,40251768,",ci40251768,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.06573,0.13,51.0,ml,earthquake,"M 0.3 - 17km SE of Anza, CA"
1.99000001,"1 km SE of P?hala, Hawaii",1651649247550,1651649431400,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73002532,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73002532&format=geojson,,,,,automatic,0,61,hv,73002532,",hv73002532,",",hv,",",origin,phase-data,",36.0,,0.109999999,95.0,md,earthquake,"M 2.0 - 1 km SE of P?hala, Hawaii"
